"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"275","TCP11",8.50722928727364,1.81820499111427,0.332065422009503,5.47544209846166,4.36420649908769e-08,2.95750372061812e-06,"Up"
"276","NFKBIA",2889.17237716842,0.815741990253464,0.149053454867264,5.47281504464223,4.429423416796e-08,2.99082372447139e-06,"Up"
"277","LYZ",1786.99566681338,1.61137975503021,0.294559610240899,5.47047082834058,4.48841583623734e-08,3.01971543408372e-06,"Up"
"278","CPA5",7.64453234053928,2.26138246312802,0.413448910378574,5.46955719645599,4.51161314356618e-08,3.02440368861509e-06,"Up"
"279","CALHM6",40.1824332547195,2.11292858333832,0.387785258103266,5.44870785875944,5.07370720408142e-08,3.38901818836062e-06,"Up"
"280","ITK",210.965556677581,1.54687061964775,0.283952361397769,5.44764132981042,5.10421544826894e-08,3.39721996764071e-06,"Up"
"281","KIR3DL1",4.64885161130587,2.16606244054588,0.39773897927678,5.44593955685332,5.15326349716293e-08,3.41765902253126e-06,"Up"
"282","ICOS",76.8926360035962,1.5995309040636,0.293965684912894,5.44121639414328,5.29179864364181e-08,3.49709076322371e-06,"Up"
"283","TNFSF8",47.4240882130994,1.17092518241367,0.216015047948857,5.42057228666262,5.9408543710593e-08,3.91214706922478e-06,"Up"
"284","PRKCQ",85.9322144663998,1.51968608147664,0.280625288086413,5.41535686908118,6.11665852284731e-08,4.0137340926684e-06,"Up"
"285","JAKMIP1",3.89804110962219,2.28552455488268,0.423180992233279,5.40082044522164,6.63367984121467e-08,4.33772833406585e-06,"Up"
"286","CD84",373.031610500371,1.26318463833359,0.233976991942238,5.39875578298497,6.7104645258357e-08,4.37259499662497e-06,"Up"
"287","TLR8",64.6331432565549,1.5085148048398,0.279769175698304,5.39199788924045,6.96785866979687e-08,4.52449526725904e-06,"Up"
"288","FCAMR",5.3443007702134,3.36385278993013,0.624078981746237,5.39010748369977,7.04155554605088e-08,4.55647323459042e-06,"Up"
"289","IFNG",31.6343774999074,2.23254268227868,0.414272263630159,5.38907109714635,7.08227860464101e-08,4.56696692304809e-06,"Up"
"290","LILRB4",680.762411409192,1.4491384929974,0.269223901946322,5.38265169816286,7.33964750872051e-08,4.71660934387984e-06,"Up"
"291","JAK3",915.650698093305,1.14658249828722,0.21315160474428,5.37918773664776,7.48226522607344e-08,4.79173521488332e-06,"Up"
