"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"PROX1",125.633926443004,1.10990981738763,0.274345873996746,4.04565886564344,5.21761673121519e-05,0.00633765831824606,"Up"
"CYP19A1",40.1953826089639,1.51762300918446,0.375640510481139,4.04009409752055,5.3429760426674e-05,0.00633765831824606,"Up"
"ST6GAL2",23.5486614010974,1.39510103732583,0.344956920377216,4.04427612526302,5.24850330640159e-05,0.00633765831824606,"Up"
"LGALS9C",16.9054493351553,-1.64560435690301,0.407354146862504,-4.03973881100187,5.35107585582172e-05,0.00633765831824606,"Down"
"C8orf89",5.62418986501123,-1.43674475120646,0.355825478650684,-4.03777929746544,5.39595824343059e-05,0.00634877087009952,"Down"
"GNA15",950.750792473916,-1.39885729023678,0.347319933172482,-4.02757560575163,5.63549483660594e-05,0.00658726729789938,"Down"
"JUP",24571.7504192699,-1.68571377464617,0.419490175724957,-4.01848212948717,5.85742506762303e-05,0.00664239790493657,"Down"
"LAMTOR5",2888.5865516667,-0.461574401427991,0.114934422567822,-4.01598051406764,5.9199147214531e-05,0.00664239790493657,"Not"
"SMPD3",543.917107493895,-1.51196414089963,0.376404591307517,-4.01685892206447,5.897900760991e-05,0.00664239790493657,"Down"
"EREG",122.054318182406,-1.99718069412101,0.497420329898694,-4.01507653402055,5.94265077605598e-05,0.00664239790493657,"Down"
"SH2D5",148.848702258391,-1.29976293721121,0.32314566530169,-4.02221993600858,5.76521856330438e-05,0.00664239790493657,"Down"
"TREX2",234.22990731001,-1.52727733112496,0.380283396730478,-4.01615569929129,5.9155181669398e-05,0.00664239790493657,"Down"
"DBNDD2",17.5908045269531,-0.932879595587189,0.232038805929632,-4.02036026624828,5.81092084313014e-05,0.00664239790493657,"Down"
"SLC9A5",153.345619855308,-0.843765338367642,0.210447067403314,-4.00939461299595,6.08746137250516e-05,0.00673170463306884,"Down"
"GABRE",131.339912393571,-1.43378342487603,0.357641818873769,-4.00899265469313,6.09783130483757e-05,0.00673170463306884,"Down"
"TPCN2",1948.78203632653,1.11875223838957,0.279288282719268,4.00572565199274,6.18273775606159e-05,0.00678356331468745,"Up"
"ENTPD2",89.2926236928681,-1.65490221601888,0.414672728691051,-3.99086340025957,6.58331917308207e-05,0.00717902927386583,"Down"
"SDC1",10822.0574276687,-1.4463190960691,0.362559493763935,-3.98919107331613,6.6299001953955e-05,0.00718600818754261,"Down"
"NABP1",967.314286376628,-0.729718922604485,0.183069154175302,-3.98602880912272,6.7188357575968e-05,0.00723853365595549,"Down"
"ALS2CL",739.239888817957,-1.28519425081746,0.323380442904708,-3.97424853300782,7.06018107465097e-05,0.00740556886925679,"Down"
"LPAR3",222.499057162217,-1.58600040413761,0.399095496083781,-3.97398722787057,7.06793548101056e-05,0.00740556886925679,"Down"
"SLC30A8",65.00640782476,2.70582530896729,0.680187254344081,3.97805941185501,6.94800130184556e-05,0.00740556886925679,"Up"
"BSPRY",276.896898429793,-1.76346951933031,0.443802000060923,-3.97355018474057,7.08092304094671e-05,0.00740556886925679,"Down"
"AL354761.1",2.52596690685963,-2.83492197610552,0.713222583663262,-3.97480680090745,7.04364105476618e-05,0.00740556886925679,"Down"
"SYNE1",1997.70501808784,0.602369544873427,0.151805797111648,3.96802728442844,7.24700384380628e-05,0.00752910338743751,"Up"
"ATP6V0D2",143.776096213245,-2.02339126837535,0.510076587255683,-3.96683815515159,7.2832413667339e-05,0.00752910338743751,"Down"
"PLA2G10",3.80884649556564,-1.31112389153575,0.330852398220066,-3.96286651869351,7.40551910200678e-05,0.00761151170231548,"Down"
"DPEP3",15.3982483250758,1.97068044518278,0.497858027359147,3.95831810855018,7.54793886684636e-05,0.00771356221112459,"Up"
"KRT23",447.61891101951,-2.14898221435392,0.543353562653399,-3.95503473623994,7.65235326477377e-05,0.00777583441972807,"Down"
"SLC9A3",508.620153805797,1.65558316321181,0.418868466307726,3.95251325029446,7.73346454017756e-05,0.00781385761788336,"Up"
"ENTPD8",10.7184074325674,-1.75438729816444,0.4444697349861,-3.94714681353794,7.90880632657392e-05,0.00794612878339596,"Down"
